주소,위도,경도
애월읍,33.456603621199285,126.43854790866982
애월읍,33.456603621199285,126.43854790866982
애월읍,33.48413898623487,126.40845025691809
애월읍,33.46404544151133,126.32212512538747
애월읍,33.47294583131647,126.40583985654241
애월읍,33.46021129832031,126.31911258836058
애월읍,33.46489751555255,126.31772507421623
애월읍,33.48493140735331,126.40858200361592
애월읍,33.48031256083894,126.39808791814802
애월읍,33.48033538074796,126.39825073498089
애월읍,33.481106879259976,126.40158364186415
애월읍,33.48211596508812,126.40256612533543
애월읍,33.46487232839909,126.31567251626221
애월읍,33.46489790345542,126.31630620521827
애월읍,33.48015774284429,126.39945986353278
애월읍,33.48493140735331,126.40858200361592
애월읍,33.48497528137529,126.40787962712736
애월읍,33.40606871711465,126.38517088854664
애월읍,33.48211596508812,126.40256612533543
애월읍,33.48004606182349,126.39846264382567
애월읍,33.47142253541599,126.36390050271797
애월읍,33.484597166721045,126.40721553522773
애월읍,33.48674658455101,126.4121081395301
애월읍,33.40970902050067,126.38248251751801
애월읍,33.46622271148865,126.38982407871427
애월읍,33.467146529340944,126.3497240599324
애월읍,33.466100123661825,126.34676498275255
애월읍,33.46765980997154,126.39026438180466
애월읍,33.44281820791142,126.42888461649234
애월읍,33.484930047763974,126.4132132796899
애월읍,33.464010240392014,126.43348790001204
애월읍,33.48033538074796,126.39825073498089
애월읍,33.48133377186671,126.40197362218348
애월읍,33.48863951791695,126.41596418063341
애월읍,33.47840607510979,126.3540726064098
애월읍,33.47798837712043,126.36614669181792
애월읍,33.48650683806292,126.41161841172536
애월읍,33.47205044767351,126.36546624109928
애월읍,33.46680875620772,126.3354930937031
애월읍,33.458210172809935,126.4108911308037
애월읍,33.48291648454242,126.41257303486763
애월읍,33.46710810437966,126.33381697889413
애월읍,33.47990486167592,126.39705752458289
애월읍,33.48262321342018,126.39386743399126
애월읍,33.45123783125722,126.30420969730004
애월읍,33.48488258169964,126.4060884905904
애월읍,33.47733777522157,126.35994544592246
애월읍,33.48064006718731,126.40245299906164
애월읍,33.4819267171466,126.37233683690974
